output,X1,X2,X3,X4
5.874627715,0.75,1,0.25,0.2
2.64471302,1,1,0.5,0.6
1.369535028,0.75,0.75,0.75,0
0.012739516,0.75,0,0,0.6
1.154316567,1,0.25,1,0.8
0.416707546,0.5,0.25,0,0.8
2.347297346,0.5,0.5,0,0.6
1.963187638,0.75,0.5,0.25,0.4
0.262696736,0.5,0,0,0.4
5.909146272,0.5,1,0.5,0.8
0.373350957,0,1,0.5,0
0.267295917,0,0.75,0.25,0.4
0.003644474,0,0.75,0.75,0.8
3.070077102,0.75,0.5,0.75,0.2
0.575267687,0.75,0.25,0.5,0.6
1.489407199,1,0.25,0.75,0
0.091763024,0.5,0.25,0.25,0.2
0,0.75,0.25,1,0
NA,0.5,0,0.5,0
0.210521054,0.25,0.25,0.75,0.4
0.30879793,0.25,0.75,0.25,0.2
0,0.5,0.5,0.75,0.4
0.216354714,0,0.75,0.25,0.8
NA,0.75,0.25,0.5,0
0,0.5,0,0.75,0
0.749981376,0.25,1,1,0.6
0.017498243,0,0,0.5,0
0.172842428,0,0.75,1,0.6
0.39931833,0.25,0.25,0,0.6
0.652540942,0.25,0.5,1,0.8
0,1,0,1,0
0.570421764,0.25,1,0.75,0
0.232585033,0,0.75,1,0.2
0.022859612,0.25,0.5,1,0.6
0.910513107,1,0,0,0.6
3.050192225,0.75,0.5,0,0.2
0.769284027,0.75,0.25,0,0
2.457771774,1,1,0.5,0
0.757348497,0.5,0.5,1,0.8
0.434061724,0.25,0.25,0.75,0.8
0.212074495,0.75,1,0.75,0.8
0.511328741,0,0.75,1,0.4
5.140710224,0.5,0.75,0.75,0.6
1.332497388,0.25,0.75,0.5,0.8
0.168765818,0,0.25,0,0.8
0,0,0.25,1,0.4
1.184422865,0.5,0.5,0,0.6
0,0.25,0,0.75,0.2
0,0.25,0.5,1,0.8
0.320034167,1,0.75,1,0
1.178640739,0.75,1,0.25,0.6
0.111918994,0.75,1,0.75,0.6
0.542865433,1,0.5,0.5,0.2
1.286166575,0.5,0.5,0.5,0.4
3.116088935,0.75,1,0.5,0
0.623421362,0.25,0.75,0.5,0.8
1.715686769,0.75,0,0,0
3.400622711,1,0.75,0,0.8
0.007365032,0.5,0.75,1,0
0,0.5,0.5,0.75,0.8
1.310062735,0.25,0.75,0,0.6
0.283277396,0,0.75,0,0.4
1.178798086,1,0.75,0.75,0.4
0.475257044,0.5,0.75,0.25,0.4
0,0,0.25,1,0
3.906311092,1,1,0.5,0.4
1.743059519,0.5,1,0.75,0.4
0.005882565,0,0,1,0.4
NA,1,0.75,1,0.2
0.78267046,0,1,1,0.6
6.742315951,0.5,1,0,0.6
0.131636321,1,0,0.75,0.4
0,0.25,0,0.5,0.4
0.004514167,0.25,0.75,0.5,0.8
1.279213048,1,0.75,0.75,0
0.741791407,0.75,0,0,0.6
0.167709554,0.25,0.25,1,0.8
0.927198324,0.75,1,0.75,0
0.175444079,0.75,0.25,1,0.6
0.043385717,0.25,0.75,0.5,0.6
0.666701435,0.5,0.5,0.75,0.6
0.052097853,0.75,0.25,0.75,0.8
1.711097325,1,1,0.25,0.4
NA,1,1,0.25,0.6
1.138349299,0,0.5,0.5,0.4
0,0,0.25,0.75,0.4
0.158892157,0.75,0.75,0.5,0.6
0.28661851,0.5,0.25,0.25,0.6
NA,0.25,0,0,0
0,0,1,1,0.4
0.516043254,1,0.25,0.75,0
0.886352221,0.75,0.25,0,0.6
0.465360484,0.25,0.25,0,0.8
NA,1,1,0.25,0.4
0.895157405,0.5,0.25,0,0.2
0.401749435,0.25,0,0.25,0.4
NA,0.75,0,0.75,0.4
0.829050705,1,0,0,0.8
0,0,0,1,0.2
0,0,0.25,0.75,0.4
0.256367348,0,0.5,1,0
0.340551939,0.5,0.75,0,0
0.520538449,0.5,0.75,0.5,0.8
0.203986612,0.25,0.75,0.5,0
NA,1,1,0.5,0.4
2.673298768,0.75,1,0.5,0
0.641518318,1,0.25,0.25,0.2
1.021024844,0.75,1,1,0.4
1.150918196,0.75,0.25,0,0.6
0.659607064,0.25,0.75,0.5,0.6
1.55552711,0.75,0.5,0,0.2
0,0,1,1,0.2
0,1,0,0.75,0.2
2.024270319,0.25,0.5,0.25,0.8
0.746314444,0.75,0.75,0.5,0
1.064118027,0.5,1,0.5,0.2
0.195674958,1,0.5,0.5,0.4
0,0.5,0,0,0.4
NA,0,0.5,0.75,0.8
0.544706669,1,0.5,0.5,0.4
NA,1,1,0,0
1.021778515,1,0.75,1,0.6
0,0,0.75,0.25,0
0.945948893,0.25,0,0,0
2.426422272,0,1,0.25,0
1.273030142,0,1,0.75,0.6
2.670151342,1,0.5,0.25,0.2
9.861133083,0.75,1,0,0
2.858591837,0.75,0.75,0.25,0.4
0.93222703,1,0.75,0.5,0.6
0.699252568,0.5,0.75,0.5,0.2
0.645661611,0.75,0,0.5,0.2
1.013371957,0.75,0.5,0.5,0.6
